Month,Year,Categories,Amount,Page number,Type of Category
December,1858,Arrests (Residents),369,115,Demographics
December,1858,Arrests (Non-residents),208,115,Demographics
December,1858,Arrests (Minor),107,115,Demographics
December,1858,Arrests (Commitments),325,115,Demographics
December,1858,Lodging (Males),84,115,Demographics
December,1858,Lodging (Females),34,115,Demographics
December,1858,Lodging (Americans),25,115,Demographics
December,1858,Lodging (Foreigners),95,115,Demographics
December,1858,Lodging (Residents),38,115,Demographics
December,1858,Lodging (Non-residents),82,115,Demographics
December,1858,Lodging (Minor),18,115,Demographics
December,1858,Assaults and Battery,34,115,Offences
December,1858,Assault with deadly weapons,5,115,Offences
December,1858,Breaking and Entering,1,115,Offences
December,1858,City Ordinance Violations,3,115,Offences
December,1858,Common Drunkenness (drunkards),23,115,Offences
December,1858,Drunkenness (Simple),169,115,Offences
December,1858,Disturbing the Peace,3,115,Offences
December,1858,False Pretence,1,115,Offences
December,1858,Fornication,2,115,Offences
December,1858,Insane,1,115,Offences
December,1858,Larceny (simple),35,115,Offences
December,1858,Larceny (felonious) (??),14,115,Offences
December,1858,Malicious mischief,4,115,Offences
December,1858,Noisy and disorderly persons,228,115,Offences
December,1858,Common Night Walkers,23,115,Offences
December,1858,Pickpockets,2,115,Offences
December,1858,Robbery,4,115,Offences
December,1858,Stubborn & Truant Children,2,115,Offences
December,1858,Stubborn & Truant Children,1,115,Offences
December,1858,Vagabonds,7,115,Offences
December,1858,Witnesses detained,13,115,Offences
December,1858,Possessing worthless money,2,115,Offences
December,1858,On warrants,20,115,Offences
December,1858,Lost children returned,1,115,Public Service
December,1858,Stores found open and secured ,26,115,Public Service
December,1858,Stray Teams Put up,7,115,Public Service
December,1858,Streets repair requested ,2,115,Public Service
December,1858,Defective Street Lamps Repaired/Reported,3,115,Public Service
December,1858,Water Pipes burst secured,4,115,Public Service
December,1858,Sidewalks repaired,5,115,Public Service
December,1858,Unsafe buildings reported,1,115,Public Service
December,1858,Injured persons provided for,16,115,Public Service
December,1858,Cases investigated for overseers of poor,174,115,Public Service
December,1858,"Drains,vaults,nuisances reported",2,115,Public Service
December,1858,Disturbances Suppressed,133,115,Public Service
December,1858,Number of fires on the station,4,115,Public Service
December,1858,Fires extinguished by officers without alarms,3,115,Public Service
December,1858,No. of larcenies on station,52,115,Offences
December,1858,No. of arrests for larcenies on station,30,115,Offences
December,1858,Amt property stolen on station (in $),1039,115,Station and Court-related
December,1858,Stolen Property Recovered (in $),182.92,115,Station and Court-related
December,1858,Amt property restored to prisoners (in $),290.37,115,Station and Court-related
December,1858,Days time spent in court,188,115,Station and Court-related
December,1858,Amt Witness fees has earned in court (in $),288.56,115,Station and Court-related
December,1858,Amt fines imposed on Prisoners (in $),660,115,Station and Court-related
December,1858,Years imprisonment imposed on convicts,39.42,115,Station and Court-related
January,1859,Custody,610,122,Demographics
January,1859,Arrests (Males),340,122,Demographics
January,1859,Arrests (Females),117,122,Demographics
January,1859,Arrests (Americans),65,122,Demographics
January,1859,Arrests (Foreigners),392,122,Demographics
January,1859,Arrests (Residents),363,122,Demographics
January,1859,Arrests (Non-residents),94,122,Demographics
January,1859,Arrests (Minor),66,122,Demographics
January,1859,Arrests (Commitments),278,122,Demographics
January,1859,Lodging (Males),119,122,Demographics
January,1859,Lodging (Females),34,122,Demographics
January,1859,Lodging (Americans),27,122,Demographics
January,1859,Lodging (Foreigners),124,122,Demographics
January,1859,Lodging (Residents),47,122,Demographics
January,1859,Lodging (Non-residents),106,122,Demographics
January,1859,Lodging (Minor),26,122,Demographics
January,1859,Assaults and Battery,26,122,Offences
January,1859,Attempt to rape,1,122,Offences
January,1859,Assault with deadly weapons,1,122,Offences
January,1859,Burglary,3,122,Offences
January,1859,Common Drunkenness (drunkards),23,122,Offences
January,1859,City Ordinance Violations,3,122,Offences
January,1859,Cock fighting,8,122,Offences
January,1859,Drunkenness (Simple),131,122,Offences
January,1859,Escaped Convicts,1,122,Offences
January,1859,Insane,3,122,Offences
January,1859,Idle & disorderly persons,3,122,Offences
January,1859,Keeping Houses of Ill Fame,2,122,Offences
January,1859,Larceny (simple),20,122,Offences
January,1859,Larceny (felonious) (??),19,122,Offences
January,1859,Murder,1,122,Offences
January,1859,Malicious mischief,4,122,Offences
January,1859,Common Night Walkers,6,122,Offences
January,1859,Noisy and disorderly persons,175,122,Offences
January,1859,Possessing sling shot,1,122,Offences
January,1859,Store breaking,5,122,Offences
January,1859,Stubborn & Truant Children,1,122,Offences
January,1859,Threatening violence,1,122,Offences
January,1859,Vagabonds,7,122,Offences
January,1859,Witnesses detained,12,122,Offences
January,1859,On warrants,8,122,Offences
January,1859,Disturbances Suppressed,111,122,Public Service
January,1859,Stores found open and secured ,32,122,Public Service
January,1859,Sidewalks repaired,2,122,Public Service
January,1859,Defective Street Lamps Repaired/Reported,3,122,Public Service
January,1859,Street Obstructions Removed,3,122,Public Service
January,1859,Water Pipes burst secured,5,122,Public Service
January,1859,Stray Teams Put up,3,122,Public Service
January,1859,Injured persons provided for,5,122,Public Service
January,1859,Lost children returned,2,122,Public Service
January,1859,Number of fires on the station,5,122,Public Service
January,1859,Fires alarms given by officers,3,122,Public Service
January,1859,Fires extinguished by officers without alarms,1,122,Public Service
January,1859,No. of larcenies on station,44,122,Offences
January,1859,No. of arrests for larcenies on station,29,122,Offences
January,1859,Amt property stolen on station (in $),436,122,Station and Court-related
January,1859,Stolen Property Recovered (in $),623,122,Station and Court-related
January,1859,Amt property restored to prisoners (in $),172.72,122,Station and Court-related
January,1859,Days time spent in court,154,122,Station and Court-related
January,1859,Amt Witness fees has earned in court (in $),202.81,122,Station and Court-related
January,1859,Amt fines imposed on Prisoners (in $),631,122,Station and Court-related
January,1859,Years imprisonment imposed on convicts,34.83,122,Station and Court-related
February,1859,Custody,610,123,Demographics
February,1859,Arrests (Males),323,123,Demographics
February,1859,Arrests (Females),143,123,Demographics
February,1859,Arrests (Americans),52,123,Demographics
February,1859,Arrests (Foreigners),414,123,Demographics
February,1859,Arrests (Residents),347,123,Demographics
February,1859,Arrests (Non-residents),119,123,Demographics
February,1859,Arrests (Minor),76,123,Demographics
February,1859,Arrests (Commitments),293,123,Demographics
February,1859,Lodging (Males),111,123,Demographics
February,1859,Lodging (Females),33,123,Demographics
February,1859,Lodging (Americans),25,123,Demographics
February,1859,Lodging (Foreigners),119,123,Demographics
February,1859,Lodging (Residents),44,123,Demographics
February,1859,Lodging (Non-residents),100,123,Demographics
February,1859,Lodging (Minor),25,123,Demographics
February,1859,Assaults and Battery,23,123,Offences
February,1859,Assault with deadly weapons,2,123,Offences
February,1859,Common Drunkenness (drunkards),24,123,Offences
February,1859,City Ordinance Violations,1,123,Offences
February,1859,Drunkenness (Simple),157,123,Offences
February,1859,Disturbing the Peace,1,123,Offences
February,1859,Embezzlement,1,123,Offences
February,1859,Fraud,2,123,Offences
February,1859,Idle & disorderly persons,12,123,Offences
February,1859,Keeping Houses of Ill Fame,3,123,Offences
February,1859,Keeping Noisy & Disorderly Houses,4,123,Offences
February,1859,House breaking,2,123,Offences
February,1859,Larceny (simple),20,123,Offences
February,1859,Larceny (felonious) (??),13,123,Offences
February,1859,Malicious mischief,5,123,Offences
February,1859,Noisy and disorderly persons,161,123,Offences
February,1859,Common Night Walkers,8,123,Offences
February,1859,Receiving stolen goods,2,123,Offences
February,1859,Robbery,2,123,Offences
February,1859,Store breaking,1,123,Offences
February,1859,Possessing sling shot,1,123,Offences
February,1859,Stubborn & Truant Children,4,123,Offences
February,1859,Threatening violence,1,123,Offences
February,1859,Vagabonds,5,123,Offences
February,1859,Witnesses detained,11,123,Offences
February,1859,On warrants,13,123,Offences
February,1859,Disturbances Suppressed,81,123,Public Service
February,1859,Stores found open and secured ,21,123,Public Service
February,1859,Sidewalks repaired,6,123,Public Service
February,1859,Water Pipes burst secured,3,123,Public Service
February,1859,Stray Teams Put up,5,123,Public Service
February,1859,Number of fires on the station,2,123,Public Service
February,1859,Fires alarms given by officers,2,123,Public Service
February,1859,Defective Street Lamps Repaired/Reported,3,123,Public Service
February,1859,Unsafe buildings reported,1,123,Public Service
February,1859,Lost children returned,1,123,Public Service
February,1859,Injured persons provided for,2,123,Public Service
February,1859,No. of larcenies on station,20,123,Offences
February,1859,No. of arrests for larcenies on station,14,123,Offences
February,1859,Amt property stolen on station (in $),189.5,123,Station and Court-related
February,1859,Amt recovered in city off station,270,123,Station and Court-related
February,1859,Amt recovered out of city,242.4,123,Station and Court-related
February,1859,Amt property restored to prisoners (in $),146.33,123,Station and Court-related
February,1859,Amt fines imposed on Prisoners (in $),544,123,Station and Court-related
February,1859,Years imprisonment imposed on convicts,60.25,123,Station and Court-related
February,1859,Amt Witness fees has earned in court (in $),359.15,123,Station and Court-related
February,1859,Days time spent in court,193,123,Station and Court-related
March,1859,Custody,738,124,Demographics
March,1859,Arrests (Males),403,124,Demographics
March,1859,Arrests (Females),149,124,Demographics
March,1859,Arrests (Americans),76,124,Demographics
March,1859,Arrests (Foreigners),476,124,Demographics
March,1859,Arrests (Residents),432,124,Demographics
March,1859,Arrests (Non-residents),120,124,Demographics
March,1859,Arrests (Minor),106,124,Demographics
March,1859,Arrests (Commitments),373,124,Demographics
March,1859,Lodging (Males),141,124,Demographics
March,1859,Lodging (Females),45,124,Demographics
March,1859,Lodging (Americans),70,124,Demographics
March,1859,Lodging (Foreigners),116,124,Demographics
March,1859,Lodging (Residents),55,124,Demographics
March,1859,Lodging (Non-residents),131,124,Demographics
March,1859,Lodging (Minor),55,124,Demographics
March,1859,Assaults and Battery,21,124,Offences
March,1859,Attempt to rob,2,124,Offences
March,1859,Burglary,2,124,Offences
March,1859,City Ordinance Violations,3,124,Offences
March,1859,Common Drunkenness (drunkards),30,124,Offences
March,1859,Drunkenness (Simple),192,124,Offences
March,1859,Fraud,2,124,Offences
March,1859,House breaking,3,124,Offences
March,1859,Fornication,2,124,Offences
March,1859,Idle & disorderly persons,2,124,Offences
March,1859,Keeping a Nuisance,9,124,Offences
March,1859,Larceny (felonious) (??),7,124,Offences
March,1859,Larceny (simple),32,124,Offences
March,1859,Murder,1,124,Offences
March,1859,Malicious mischief,4,124,Offences
March,1859,Noisy and disorderly persons,149,124,Offences
March,1859,Common Night Walkers,34,124,Offences
March,1859,Pickpockets,2,124,Offences
March,1859,Receiving stolen goods,2,124,Offences
March,1859,Robbery,4,124,Offences
March,1859,Store breaking,4,124,Offences
March,1859,Suspicious persons,3,124,Offences
March,1859,Stubborn & Truant Children,2,124,Offences
March,1859,Subborning Witnesses,1,124,Offences
March,1859,Sunday Law Violations,6,124,Offences
March,1859,Threatening violence,1,124,Offences
March,1859,Stubborn & Truant Children,4,124,Offences
March,1859,Vagabonds,15,124,Offences
March,1859,Witnesses detained,13,124,Offences
March,1859,On warrants,11,124,Offences
March,1859,Disturbances Suppressed,113,124,Public Service
March,1859,Intoxicated persons helped home,42,124,Public Service
March,1859,Injured persons provided for,7,124,Public Service
March,1859,Lost children returned,4,124,Public Service
March,1859,Stores found open and secured ,31,124,Public Service
March,1859,Sidewalks repaired,18,124,Public Service
March,1859,Street Obstructions Removed,5,124,Public Service
March,1859,Number of fires on the station,5,124,Public Service
March,1859,Fires alarms given by officers,4,124,Public Service
March,1859,Fires extinguished by officers without alarms,1,124,Public Service
March,1859,No. of larcenies on station,36,124,Offences
March,1859,No. of arrests for larcenies on station,25,124,Offences
March,1859,Amt property stolen on station (in $),435,124,Station and Court-related
March,1859,Stolen Property Recovered (in $),297.95,124,Station and Court-related
March,1859,Amt property restored to prisoners (in $),243.93,124,Station and Court-related
March,1859,Amt fines imposed on Prisoners (in $),802,124,Station and Court-related
March,1859,Years imprisonment imposed on convicts,55.25,124,Station and Court-related
March,1859,Days time spent in court,163,124,Station and Court-related
March,1859,Amt Witness fees has earned in court (in $),271.01,124,Station and Court-related
April,1859,Custody,775,125,Demographics
April,1859,Arrests (Males),443,125,Demographics
April,1859,Arrests (Females),177,125,Demographics
April,1859,Arrests (Americans),26,125,Demographics
April,1859,Arrests (Foreigners),594,125,Demographics
April,1859,Arrests (Residents),494,125,Demographics
April,1859,Arrests (Non-residents),126,125,Demographics
April,1859,Arrests (Minor),96,125,Demographics
April,1859,Arrests (Commitments),340,125,Demographics
April,1859,Lodging (Males),102,125,Demographics
April,1859,Lodging (Females),44,125,Demographics
April,1859,Lodging (Americans),24,125,Demographics
April,1859,Lodging (Foreigners),122,125,Demographics
April,1859,Lodging (Residents),60,125,Demographics
April,1859,Lodging (Non-residents),86,125,Demographics
April,1859,Lodging (Minor),26,125,Demographics
April,1859,Assaults and Battery,22,125,Offences
April,1859,Attempt to kill,2,125,Offences
April,1859,Breaking street lamps,2,125,Offences
April,1859,Common Drunkenness (drunkards),30,125,Offences
April,1859,Counterfeit money passing,2,125,Offences
April,1859,City Ordinance Violations,3,125,Offences
April,1859,Drunkenness (Simple),202,125,Offences
April,1859,Disturbing assemblies,2,125,Offences
April,1859,Fraud,1,125,Offences
April,1859,Keeping Houses of Ill Fame,14,125,Offences
April,1859,Idle & disorderly persons,4,125,Offences
April,1859,Larceny (simple),30,125,Offences
April,1859,Larceny (felonious) (??),7,125,Offences
April,1859,Malicious mischief,5,125,Offences
April,1859,Noisy and disorderly persons,227,125,Offences
April,1859,Common Night Walkers,13,125,Offences
April,1859,Keeping a Nuisance,12,125,Offences
April,1859,Robbery,1,125,Offences
April,1859,Receiving stolen goods,2,125,Offences
April,1859,Stubborn & Truant Children,2,125,Offences
April,1859,Store breaking,9,125,Offences
April,1859,Sunday Law Violations,7,125,Offences
April,1859,Stubborn & Truant Children,1,125,Offences
April,1859,Vagabonds,13,125,Offences
April,1859,Witnesses detained,7,125,Offences
April,1859,On warrants,36,125,Offences
April,1859,Disturbances Suppressed,142,125,Public Service
April,1859,Intoxicated persons helped home,43,125,Public Service
April,1859,Stores found open and secured ,19,125,Public Service
April,1859,Injured persons provided for,11,125,Public Service
April,1859,Sidewalks repaired,14,125,Public Service
April,1859,Water Pipes burst secured,3,125,Public Service
April,1859,Lost children returned,9,125,Public Service
April,1859,"Drains,vaults,nuisances reported",1,125,Public Service
April,1859,Number of fires on the station,1,125,Public Service
April,1859,Dangerous buildings reported/secured,2,125,Public Service
April,1859,Telegraph dispatches sent,73,125,Public Service
April,1859,No. of larcenies on station,29,125,Offences
April,1859,No. of arrests for larcenies on station,19,125,Offences
April,1859,Amt property stolen on station (in $),644.79,125,Station and Court-related
April,1859,Amt recovered in city off station,354.07,125,Station and Court-related
April,1859,Stolen Property Recovered (in $),539.07,125,Station and Court-related
April,1859,Amt property restored to prisoners (in $),143.89,125,Station and Court-related
April,1859,Amt fines imposed on Prisoners (in $),1046.1,125,Station and Court-related
April,1859,Years imprisonment imposed on convicts,64.17,125,Station and Court-related
April,1859,Days time spent in court,248,125,Station and Court-related
April,1859,Amt Witness fees has earned in court (in $),386.37,125,Station and Court-related
April,1859,Stray Teams Put up,3,125,Public Service
May,1859,Custody,691,126,Demographics
May,1859,Arrests (Males),415,126,Demographics
May,1859,Arrests (Females),173,126,Demographics
May,1859,Arrests (Americans),75,126,Demographics
May,1859,Arrests (Foreigners),513,126,Demographics
May,1859,Arrests (Residents),460,126,Demographics
May,1859,Arrests (Non-residents),128,126,Demographics
May,1859,Arrests (Minor),88,126,Demographics
May,1859,Arrests (Commitments),417,126,Demographics
May,1859,Lodging (Males),68,126,Demographics
May,1859,Lodging (Females),35,126,Demographics
May,1859,Lodging (Americans),26,126,Demographics
May,1859,Lodging (Foreigners),77,126,Demographics
May,1859,Lodging (Residents),44,126,Demographics
May,1859,Lodging (Non-residents),59,126,Demographics
May,1859,Lodging (Minor),19,126,Demographics
May,1859,Assaults and Battery,33,126,Offences
May,1859,Assault with deadly weapons,4,126,Offences
May,1859,Common Drunkenness (drunkards),31,126,Offences
May,1859,Drunkenness (Simple),234,126,Offences
May,1859,Disturbing the Peace,2,126,Offences
May,1859,Defacing buildings,4,126,Offences
May,1859,Escaped Convicts,1,126,Offences
May,1859,Indecent Exposure,1,126,Offences
May,1859,Gaming on Sunday,2,126,Offences
May,1859,Idle & disorderly persons,6,126,Offences
May,1859,Keeping Houses of Ill Fame,3,126,Offences
May,1859,Keeping Noisy & Disorderly Houses,3,126,Offences
May,1859,Larceny (simple),23,126,Offences
May,1859,Larceny (felonious) (??),16,126,Offences
May,1859,Malicious mischief,7,126,Offences
May,1859,Noisy and disorderly persons,141,126,Offences
May,1859,Common Night Walkers,28,126,Offences
May,1859,Possessing worthless money,2,126,Offences
May,1859,Receiving stolen goods,2,126,Offences
May,1859,Robbery,4,126,Offences
May,1859,Shop breaking,1,126,Offences
May,1859,Sunday Law Violations,5,126,Offences
May,1859,Threatening violence,1,126,Offences
May,1859,Stubborn & Truant Children,4,126,Offences
May,1859,Vagabonds,13,126,Offences
May,1859,Witnesses detained,17,126,Offences
May,1859,Disturbances Suppressed,198,126,Public Service
May,1859,Intoxicated persons helped home,59,126,Public Service
May,1859,Stores found open and secured ,22,126,Public Service
May,1859,Sidewalks repaired,17,126,Public Service
May,1859,Dangerous buildings reported/secured,5,126,Public Service
May,1859,Lost children returned,6,126,Public Service
May,1859,Stray Teams Put up,3,126,Public Service
May,1859,"Drains,vaults,nuisances reported",2,126,Public Service
May,1859,Water Pipes burst secured,2,126,Public Service
May,1859,Number of fires on the station,3,126,Public Service
May,1859,Fires extinguished by officers without alarms,2,126,Public Service
May,1859,Fires alarms given by officers,1,126,Public Service
May,1859,No. of larcenies on station,20,126,Offences
May,1859,No. of arrests for larcenies on station,14,126,Offences
May,1859,Amt property stolen on station (in $),361,126,Station and Court-related
May,1859,Amt recovered in city off station,139.35,126,Station and Court-related
May,1859,Amt recovered out of city,361,126,Station and Court-related
May,1859,Amt property restored to prisoners (in $),461.81,126,Station and Court-related
May,1859,Amt fines imposed on Prisoners (in $),1132,126,Station and Court-related
May,1859,Years imprisonment imposed on convicts,55.92,126,Station and Court-related
May,1859,Days time spent in court,194,126,Station and Court-related
May,1859,Amt Witness fees has earned in court (in $),352.68,126,Station and Court-related
May,1859,On warrants,20,126,Offences
June,1859,Custody,520,127,Demographics
June,1859,Arrests (Males),347,127,Demographics
June,1859,Arrests (Females),143,127,Demographics
June,1859,Arrests (Americans),72,127,Demographics
June,1859,Arrests (Foreigners),478,127,Demographics
June,1859,Arrests (Residents),391,127,Demographics
June,1859,Arrests (Non-residents),99,127,Demographics
June,1859,Arrests (Minor),70,127,Demographics
June,1859,Arrests (Commitments),336,127,Demographics
June,1859,Lodging (Males),18,127,Demographics
June,1859,Lodging (Females),24,127,Demographics
June,1859,Lodging (Americans),5,127,Demographics
June,1859,Lodging (Foreigners),37,127,Demographics
June,1859,Lodging (Residents),26,127,Demographics
June,1859,Lodging (Non-residents),16,127,Demographics
June,1859,Lodging (Minor),9,127,Demographics
June,1859,Assaults and Battery,28,127,Offences
June,1859,Attempt to kill,2,127,Offences
June,1859,Assault with deadly weapons,4,127,Offences
June,1859,Common Drunkenness (drunkards),33,127,Offences
June,1859,City Ordinance Violations,2,127,Offences
June,1859,Drunkenness (Simple),193,127,Offences
June,1859,Disturbing assemblies,1,127,Offences
June,1859,House breaking,1,127,Offences
June,1859,Idle & disorderly persons,2,127,Offences
June,1859,Insane,1,127,Offences
June,1859,Keeping Houses of Ill Fame,1,127,Offences
June,1859,Keeping Noisy & Disorderly Houses,3,127,Offences
June,1859,Larceny (simple),25,127,Offences
June,1859,Larceny (felonious) (??),9,127,Offences
June,1859,Manslaughter,2,127,Offences
June,1859,Malicious mischief,3,127,Offences
June,1859,Noisy and disorderly persons,133,127,Offences
June,1859,Common Night Walkers,15,127,Offences
June,1859,Robbery,1,127,Offences
June,1859,Receiving stolen money,1,127,Offences
June,1859,Sunday Law Violations,6,127,Offences
June,1859,Suspicious persons,4,127,Offences
June,1859,Stealing a Ride,1,127,Offences
June,1859,Stubborn & Truant Children,3,127,Offences
June,1859,Vagabonds,3,127,Offences
June,1859,Witnesses detained,13,127,Offences
June,1859,Disturbances Suppressed,161,127,Public Service
June,1859,Intoxicated persons helped home,28,127,Public Service
June,1859,Sidewalks repaired,7,127,Public Service
June,1859,Stores found open and secured ,19,127,Public Service
June,1859,Injured persons provided for,13,127,Public Service
June,1859,"Drains,vaults,nuisances reported",9,127,Public Service
June,1859,Dangerous buildings reported/secured,3,127,Public Service
June,1859,Lost children returned,5,127,Public Service
June,1859,Number of fires on the station,4,127,Public Service
June,1859,On warrants,23,127,Offences
June,1859,No. of larcenies on station,23,127,Offences
June,1859,No. of arrests for larcenies on station,15,127,Offences
June,1859,Amt property restored to prisoners (in $),229.91,127,Station and Court-related
June,1859,Amt property stolen on station (in $),817,127,Station and Court-related
June,1859,Amt recovered in city off station,373.31,127,Station and Court-related
June,1859,Amt recovered out of city,9,127,Station and Court-related
June,1859,Amt fines imposed on Prisoners (in $),788,127,Station and Court-related
June,1859,Years imprisonment imposed on convicts,22.66,127,Station and Court-related
June,1859,Days time spent in court,208,127,Station and Court-related
June,1859,Amt Witness fees has earned in court (in $),334.46,127,Station and Court-related
July,1859,Custody,549,128,Demographics
July,1859,Arrests (Males),358,128,Demographics
July,1859,Arrests (Females),159,128,Demographics
July,1859,Arrests (Americans),66,128,Demographics
July,1859,Arrests (Foreigners),451,128,Demographics
July,1859,Arrests (Residents),412,128,Demographics
July,1859,Arrests (Non-residents),165,128,Demographics
July,1859,Arrests (Minor),92,128,Demographics
July,1859,Arrests (Commitments),270,128,Demographics
July,1859,Lodging (Males),13,128,Demographics
July,1859,Lodging (Females),19,128,Demographics
July,1859,Lodging (Americans),10,128,Demographics
July,1859,Lodging (Foreigners),22,128,Demographics
July,1859,Lodging (Residents),29,128,Demographics
July,1859,Lodging (Non-residents),3,128,Demographics
July,1859,Lodging (Minor),3,128,Demographics
July,1859,Assaults and Battery,29,128,Offences
July,1859,Assault with deadly weapons,2,128,Offences
July,1859,Common Drunkenness (drunkards),34,128,Offences
July,1859,City Ordinance Violations,11,128,Offences
July,1859,Drunkenness (Simple),119,128,Offences
July,1859,Dog law,1,128,Offences
July,1859,Idle & disorderly persons,6,128,Offences
July,1859,Insane,1,128,Offences
July,1859,Larceny (simple),23,128,Offences
July,1859,Larceny (felonious) (??),22,128,Offences
July,1859,Lewdness,2,128,Offences
July,1859,Malicious mischief,3,128,Offences
July,1859,Noisy and disorderly persons,213,128,Offences
July,1859,Common Night Walkers,28,128,Offences
July,1859,Possessing worthless money,1,128,Offences
July,1859,Sunday Law Violations,2,128,Offences
July,1859,Store breaking,1,128,Offences
July,1859,Stubborn & Truant Children,1,128,Offences
July,1859,Stubborn & Truant Children,3,128,Offences
July,1859,Vagabonds,6,128,Offences
July,1859,Witnesses detained,9,128,Offences
July,1859,On warrants,18,128,Offences
July,1859,Disturbances Suppressed,253,128,Public Service
July,1859,Intoxicated persons helped home,46,128,Public Service
July,1859,Injured persons provided for,4,128,Public Service
July,1859,Lost children returned,5,128,Public Service
July,1859,Stores found open and secured ,19,128,Public Service
July,1859,Street Obstructions Removed,2,128,Public Service
July,1859,Sidewalks repaired,12,128,Public Service
July,1859,"Drains,vaults,nuisances reported",5,128,Public Service
July,1859,Stray Teams Put up,4,128,Public Service
July,1859,Number of fires on the station,7,128,Public Service
July,1859,Fires alarms given by officers,5,128,Public Service
July,1859,Fires extinguished by officers without alarms,2,128,Public Service
July,1859,No. of larcenies on station,20,128,Offences
July,1859,No. of arrests for larcenies on station,12,128,Offences
July,1859,Amt property stolen on station (in $),506.5,128,Station and Court-related
July,1859,Stolen Property Recovered (in $),358.36,128,Station and Court-related
July,1859,Amt fines imposed on Prisoners (in $),610,128,Station and Court-related
July,1859,Years imprisonment imposed on convicts,82.58,128,Station and Court-related
July,1859,Amt Witness fees has earned in court (in $),272.97,128,Station and Court-related
July,1859,Days time spent in court,165,128,Station and Court-related
July,1859,Amt property restored to prisoners (in $),258.47,128,Station and Court-related
July,1859,Amt recovered in city off station,272,128,Station and Court-related
July,1859,Amt recovered out of city,86.36,128,Station and Court-related
July,1859,Absent sick and otherwise,21,128,Station and Court-related
July,1859,Absent sick and otherwise,2,128,Station and Court-related
August,1859,Custody,575,129,Demographics
August,1859,Arrests (Males),406,129,Demographics
August,1859,Arrests (Females),101,129,Demographics
August,1859,Arrests (Americans),50,129,Demographics
August,1859,Arrests (Foreigners),457,129,Demographics
August,1859,Arrests (Residents),420,129,Demographics
August,1859,Arrests (Non-residents),87,129,Demographics
August,1859,Arrests (Minor),96,129,Demographics
August,1859,Arrests (Commitments),243,129,Demographics
August,1859,Lodging (Males),44,129,Demographics
August,1859,Lodging (Females),34,129,Demographics
August,1859,Lodging (Americans),13,129,Demographics
August,1859,Lodging (Foreigners),55,129,Demographics
August,1859,Lodging (Residents),27,129,Demographics
August,1859,Lodging (Non-residents),51,129,Demographics
August,1859,Lodging (Minor),19,129,Demographics
August,1859,Assaults and Battery,31,129,Offences
August,1859,Burglary,1,129,Offences
August,1859,Common Drunkenness (drunkards),3,129,Offences
August,1859,City Ordinance Violations,49,129,Offences
August,1859,Drunkenness (Simple),3,129,Offences
August,1859,Escaped Convicts,74,129,Offences
August,1859,Idle & disorderly persons,2,129,Offences
August,1859,Insane,4,129,Offences
August,1859,Incendiaryism (incendiary),1,129,Offences
August,1859,Keeping Houses of Ill Fame,14,129,Offences
August,1859,Keeping Noisy & Disorderly Houses,2,129,Offences
August,1859,Keeping gaming house,1,129,Offences
August,1859,Larceny (simple),31,129,Offences
August,1859,Larceny (felonious) (??),8,129,Offences
August,1859,Malicious mischief,2,129,Offences
August,1859,Noisy and disorderly persons,221,129,Offences
August,1859,Common Night Walkers,24,129,Offences
August,1859,Possess deadly weapons,1,129,Offences
August,1859,Receiving stolen goods,1,129,Offences
August,1859,Rape,3,129,Offences
August,1859,Stubborn & Truant Children,3,129,Offences
August,1859,Sunday Law Violations,7,129,Offences
August,1859,Threatening violence,1,129,Offences
August,1859,Vagabonds,3,129,Offences
August,1859,Witnesses detained,15,129,Offences
August,1859,Pickpockets,1,129,Offences
August,1859,On warrants,21,129,Offences
August,1859,No. of larcenies on station,24,129,Offences
August,1859,No. of arrests for larcenies on station,21,129,Offences
August,1859,Amt property stolen on station (in $),340,129,Station and Court-related
August,1859,Stolen Property Recovered (in $),483,129,Station and Court-related
August,1859,Amt recovered out of city,292,129,Station and Court-related
August,1859,Amt property restored to prisoners (in $),294,129,Station and Court-related
August,1859,Amt fines imposed on Prisoners (in $),361,129,Station and Court-related
August,1859,Years imprisonment imposed on convicts,37.66,129,Station and Court-related
August,1859,Amt Witness fees has earned in court (in $),275,129,Station and Court-related
August,1859,Days time spent in court,168,129,Station and Court-related
August,1859,Absent sick and otherwise,6,129,Station and Court-related
August,1859,Lost children returned,6,129,Public Service
August,1859,Injured persons provided for,11,129,Public Service
August,1859,Disturbances Suppressed,203,129,Public Service
August,1859,Intoxicated persons helped home,19,129,Public Service
August,1859,Stores found open and secured ,14,129,Public Service
August,1859,Sidewalks repaired,18,129,Public Service
August,1859,"Drains,vaults,nuisances reported",20,129,Public Service
August,1859,Number of fires on the station,5,129,Public Service
August,1859,Fires extinguished by officers without alarms,1,129,Public Service
August,1859,Fires alarms given by officers,3,129,Public Service
August,1859,Dangerous buildings reported/secured,3,129,Public Service
August,1859,Water Pipes burst secured,2,129,Public Service
August,1859,Stray Teams Put up,2,129,Public Service
August,1859,Smallpox,11,129,Public Service
September,1859,Custody,757,130,Demographics
September,1859,Arrests (Males),336,130,Demographics
September,1859,Arrests (Females),219,130,Demographics
September,1859,Arrests (Americans),91,130,Demographics
September,1859,Arrests (Foreigners),464,130,Demographics
September,1859,Arrests (Residents),458,130,Demographics
September,1859,Arrests (Non-residents),97,130,Demographics
September,1859,Arrests (Minor),107,130,Demographics
